Score_name,factor1,factor2,factor3,num,score_size,factor_num,repressor
SP1-4,SP1,,,4,15,1,0
SP2,SP2,,,1,15,1,0
SP2-2,SP2,,,2,17,1,0
SP3,SP3,,,1,11,1,0
SP3-2,SP3,,,2,13,1,0
SP4,SP4,,,1,17,1,0
SP8,SP8,,,1,12,1,0
SP9,SP9,,,1,12,1,0
SPDEF,SPDEF,,,1,11,1,0
SPI1,SPI1,,,1,6,1,0
SPI1-2,SPI1,,,2,7,1,0
SPI1-3,SPI1,,,3,14,1,0
SPI1-4,SPI1,,,4,20,1,0
SPIB,SPIB,,,1,7,1,0
SPIB-2,SPIB,,,2,16,1,0
SPIC,SPIC,,,1,14,1,0
SREBF1,SREBF1,,,1,10,1,0
SREBF1-2,SREBF1,,,2,14,1,0
SREBF2,SREBF2,,,1,10,1,0
SREBF2-2,SREBF2,,,2,10,1,0
SRF,SRF,,,1,12,1,0
SRF-2,SRF,,,2,18,1,0
SRF-3,SRF,,,3,16,1,0
SRY,SRY,,,1,9,1,0
STAT1,STAT1,,,1,14,1,0
STAT1-2,STAT1,,,2,15,1,0
STAT1-3,STAT1,,,3,11,1,0
STAT1-STAT2,STAT1,STAT2,,1,15,2,0
STAT3,STAT3,,,1,11,1,0
TAL1-TCF3,TAL1,TCF3,,1,12,2,0
TBR1,TBR1,,,1,10,1,0
TBX1,TBX1,,,1,8,1,0
TBX15,TBX15,,,1,8,1,0
TBX18,TBX18,,,1,12,1,0
TBX19,TBX19,,,1,20,1,0
TBX2,TBX2,,,1,11,1,0
TBX20,TBX20,,,1,11,1,0
TBX21,TBX21,,,1,10,1,0
TBX3,TBX3,,,1,10,1,0
TBX4,TBX4,,,1,8,1,0
TBX5,TBX5,,,1,8,1,0
TBX6,TBX6,,,1,10,1,0
TBXT,TBXT,,,1,16,1,0
TCF12,TCF12,,,1,11,1,0
TCF21,TCF21,,,1,12,1,0
TCF3,TCF3,,,1,10,1,0
TCF3-2,TCF3,,,2,11,1,0
TCF4,TCF4,,,1,10,1,0
TCF4-2,TCF4,,,2,13,1,0
TCF7,TCF7,,,1,11,1,0
TCF7L1,TCF7L1,,,1,12,1,0
TCF7L2,TCF7L2,,,1,14,1,0
TCFL5,TCFL5,,,1,10,1,0
TEAD1,TEAD1,,,1,12,1,0
TEAD1-2,TEAD1,,,2,10,1,0
TEAD1-3,TEAD1,,,3,13,1,0
TEAD2,TEAD2,,,1,13,1,0
TEAD3,TEAD3,,,1,8,1,0
TEAD4,TEAD4,,,1,10,1,0
TEAD4-2,TEAD4,,,2,12,1,0
TEF,TEF,,,1,12,1,0
TFAP2A,TFAP2A,,,1,9,1,0
TFAP2A-2,TFAP2A,,,2,15,1,0
TFAP2A-3,TFAP2A,,,3,11,1,0
TFAP2A-4,TFAP2A,,,4,14,1,0
TFAP2A-5,TFAP2A,,,5,12,1,0
TFAP2A-6,TFAP2A,,,6,13,1,0
TFAP2B,TFAP2B,,,1,12,1,0
TFAP2B-2,TFAP2B,,,2,11,1,0
TFAP2B-3,TFAP2B,,,3,13,1,0
TFAP2C,TFAP2C,,,1,15,1,0
TFAP2C-2,TFAP2C,,,2,12,1,0
TFAP2C-3,TFAP2C,,,3,11,1,0
TFAP2C-4,TFAP2C,,,4,14,1,0
TFAP2C-5,TFAP2C,,,5,13,1,0
TFAP2E,TFAP2E,,,1,11,1,0
TFAP4,TFAP4,,,1,10,1,0
TFAP4-2,TFAP4,,,2,10,1,0
TFCP2,TFCP2,,,1,10,1,0
TFDP1,TFDP1,,,1,11,1,0
TFE3,TFE3,,,1,10,1,0
TFE3-2,TFE3,,,2,8,1,0
TFEB,TFEB,,,1,10,1,0
TFEC,TFEC,,,1,10,1,0
TFEC-2,TFEC,,,2,11,1,0
TGIF1,TGIF1,,,1,12,1,0
TGIF2,TGIF2,,,1,12,1,0
TGIF2LX,TGIF2LX,,,1,12,1,0
TGIF2LY,TGIF2LY,,,1,12,1,0
THAP1,THAP1,,,1,9,1,0
THAP11,THAP11,,,1,19,1,0
THRB,THRB,,,1,15,1,0
THRB-2,THRB,,,2,19,1,0
THRB-3,THRB,,,3,19,1,0
TLX2,TLX2,,,1,8,1,0
TP53,TP53,,,1,20,1,0
TP53-2,TP53,,,2,15,1,0
TP53-3,TP53,,,3,18,1,0
TP63,TP63,,,1,20,1,0
TP63-2,TP63,,,2,18,1,0
TP73,TP73,,,1,18,1,0
TWIST1,TWIST1,,,1,13,1,0
TWIST1-2,TWIST1,,,2,13,1,0
UNCX,UNCX,,,1,8,1,0
USF1,USF1,,,1,7,1,0
USF1-2,USF1,,,2,11,1,0
USF1-3,USF1,,,3,14,1,0
USF2,USF2,,,1,11,1,0
USF2-2,USF2,,,2,16,1,0
USF2-3,USF2,,,3,14,1,0
VAX1,VAX1,,,1,8,1,0
VAX2,VAX2,,,1,8,1,0
VDR,VDR,,,1,8,1,0
VENTX,VENTX,,,1,9,1,0
VEZF1,VEZF1,,,1,10,1,0
VSX1,VSX1,,,1,8,1,0
VSX2,VSX2,,,1,8,1,0
XBP1,XBP1,,,1,14,1,0
YY1,YY1,,,1,6,1,0
YY1-2,YY1,,,2,12,1,0
YY2,YY2,,,1,11,1,0
YY2-2,YY2,,,2,11,1,0
ZBED1,ZBED1,,,1,13,1,0
ZBTB12,ZBTB12,,,1,11,1,0
ZBTB14,ZBTB14,,,1,12,1,0
ZBTB18,ZBTB18,,,1,13,1,0
ZBTB26,ZBTB26,,,1,15,1,0
ZBTB32,ZBTB32,,,1,10,1,0
ZBTB33,ZBTB33,,,1,15,1,0
ZBTB6,ZBTB6,,,1,13,1,0
ZBTB7A,ZBTB7A,,,1,12,1,0
ZBTB7A-2,ZBTB7A,,,2,13,1,0
ZBTB7B,ZBTB7B,,,1,12,1,0
ZBTB7C,ZBTB7C,,,1,12,1,0
ZEB1,ZEB1,,,1,9,1,0
ZEB1-2,ZEB1,,,2,11,1,0
ZFP42,ZFP42,,,1,21,1,0
ZFP57,ZFP57,,,1,13,1,0
ZIC1,ZIC1,,,1,14,1,0
ZIC3,ZIC3,,,1,15,1,0
ZIC4,ZIC4,,,1,15,1,0
ZIC5,ZIC5,,,1,16,1,0
ZKSCAN1,ZKSCAN1,,,1,10,1,0
ZKSCAN5,ZKSCAN5,,,1,14,1,0
ZNF135,ZNF135,,,1,14,1,0
ZNF136,ZNF136,,,1,15,1,0
ZNF140,ZNF140,,,1,21,1,0
ZNF143,ZNF143,,,1,16,1,0
ZNF148,ZNF148,,,1,12,1,0
ZNF16,ZNF16,,,1,23,1,0
ZNF24,ZNF24,,,1,13,1,0
ZNF263,ZNF263,,,1,21,1,0
ZNF263-2,ZNF263,,,2,12,1,0
ZNF274,ZNF274,,,1,16,1,0
ZNF282,ZNF282,,,1,17,1,0
ZNF317,ZNF317,,,1,12,1,0
ZNF341,ZNF341,,,1,12,1,0
ZNF354C,ZNF354C,,,1,6,1,0
ZNF382,ZNF382,,,1,24,1,0
ZNF384,ZNF384,,,1,12,1,0
ZNF410,ZNF410,,,1,17,1,0
ZNF449,ZNF449,,,1,14,1,0
ZNF460,ZNF460,,,1,16,1,0
ZNF528,ZNF528,,,1,17,1,0
ZNF652,ZNF652,,,1,12,1,0
ZNF682,ZNF682,,,1,16,1,0
ZNF684,ZNF684,,,1,18,1,0
ZNF740,ZNF740,,,1,10,1,0
ZNF740-2,ZNF740,,,2,13,1,0
ZNF75D,ZNF75D,,,1,10,1,0
ZSCAN29,ZSCAN29,,,1,12,1,0
ZSCAN4,ZSCAN4,,,1,15,1,0
