Score_name,factor1,factor2,factor3,num,score_size,factor_num,repressor
FOXC2,FOXC2,,,1,12,1,0
FOXD1,FOXD1,,,1,8,1,0
FOXD2,FOXD2,,,1,7,1,0
FOXD2-2,FOXD2,,,2,13,1,0
FOXE1,FOXE1,,,1,15,1,0
FOXF2,FOXF2,,,1,14,1,0
FOXG1,FOXG1,,,1,8,1,0
FOXH1,FOXH1,,,1,11,1,0
FOXI1,FOXI1,,,1,12,1,0
FOXI1-2,FOXI1,,,2,7,1,0
FOXK1,FOXK1,,,1,14,1,0
FOXK2,FOXK2,,,1,11,1,0
FOXK2-2,FOXK2,,,2,11,1,0
FOXL1,FOXL1,,,1,8,1,0
FOXL1-2,FOXL1,,,2,7,1,0
FOXN3,FOXN3,,,1,8,1,0
FOXO3,FOXO3,,,1,8,1,0
FOXO3-2,FOXO3,,,2,8,1,0
FOXO4,FOXO4,,,1,7,1,0
FOXO6,FOXO6,,,1,7,1,0
FOXP1,FOXP1,,,1,15,1,0
FOXP1-2,FOXP1,,,2,12,1,0
FOXP1-3,FOXP1,,,3,11,1,0
FOXP2,FOXP2,,,1,11,1,0
FOXP3,FOXP3,,,1,7,1,0
GABPA,GABPA,,,1,10,1,0
GABPA-2,GABPA,,,2,14,1,0
GATA1,GATA1,,,1,11,1,0
GATA1-TAL1,GATA1,TAL1,,1,18,2,0
GATA2,GATA2,,,1,5,1,0
GATA2-2,GATA2,,,2,14,1,0
GATA2-3,GATA2,,,3,11,1,0
GATA3,GATA3,,,1,6,1,0
GATA3-2,GATA3,,,2,8,1,0
GATA3-3,GATA3,,,3,8,1,0
GATA4,GATA4,,,1,12,1,0
GATA5,GATA5,,,1,8,1,0
GATA5-2,GATA5,,,2,10,1,0
GATA6,GATA6,,,1,13,1,0
GATA6-2,GATA6,,,2,13,1,0
GBX1,GBX1,,,1,10,1,0
GBX2,GBX2,,,1,10,1,0
GCM1,GCM1,,,1,11,1,0
GCM2,GCM2,,,1,10,1,0
GFI1,GFI1,,,1,12,1,0
GLI2,GLI2,,,1,12,1,0
GLI2-2,GLI2,,,2,15,1,0
GLI3,GLI3,,,1,15,1,0
GLIS1,GLIS1,,,1,16,1,0
GLIS2,GLIS2,,,1,14,1,0
GLIS3,GLIS3,,,1,14,1,0
GMEB2,GMEB2,,,1,8,1,0
GRHL1,GRHL1,,,1,12,1,0
GRHL2,GRHL2,,,1,15,1,0
GRHL2-2,GRHL2,,,2,12,1,0
GSC,GSC,,,1,10,1,0
GSC2,GSC2,,,1,10,1,0
